Id,SalePrice
1461,105273.45773147908
1462,140609.04465861886
1463,195426.62921418378
1464,196398.92359782488
1465,202974.15146125422
1466,191164.19541081763
1467,181107.26492819877
1468,185060.3808812179
1469,190349.9278340356
1470,128739.23832782079
1471,200480.43196867895
1472,110261.90680971579
1473,115196.31705165259
1474,166910.70468790282
1475,120002.97928903403
1476,342301.7384855447
1477,256775.4530260295
1478,305971.5487619452
1479,276186.08770582173
1480,390463.4434298137
1481,293039.6753996572
1482,222151.18845248944
1483,197215.66126375692
1484,188854.9773417837
1485,179853.64878163277
1486,212014.12954728748
1487,301072.58198824467
1488,257583.13695313572
1489,197804.83017445286
1490,209016.652049602
1491,207477.7834017228
1492,88579.52159068512
1493,189759.66388354322
1494,279365.8865137908
1495,276255.3341271966
1496,215716.89584431134
1497,208882.61255628034
1498,175868.94997102767
1499,176307.4808537123
1500,173248.06524836365
1501,188490.35218385025
1502,166509.11869034602
1503,252755.455426177
1504,233266.3556666684
1505,213920.253439793
1506,206568.6607317496
1507,251055.10912171542
1508,203349.58857622312
1509,170359.92879340844
1510,154790.0629909581
1511,152905.1825182191
1512,178415.48972435086
1513,166893.0267777556
1514,174374.13507242163
1515,230830.6684353305
1516,149069.63941291452
1517,148034.1980383786
1518,178532.28856862953
1519,216410.98124780064
1520,124198.35827386682
1521,129361.29174267361
1522,170566.95083087613
1523,123523.75568796461
1524,106554.35025862139
1525,106812.8480727952
1526,110652.9445033829
1527,116708.18912812474
1528,137383.24614221766
1529,145061.08700724028
1530,176839.1006179076
1531,124950.26898791117
1532,70117.65455586684
1533,156627.83965817234
1534,133376.00154563203
1535,165866.84104843996
1536,111856.3762680376
1537,101204.1118114118
1538,159875.53016355634
1539,196439.2830461139
1540,136943.58527713036
1541,151504.16139185382
1542,159218.12468679307
1543,187396.38559232745
1544,74783.74897323037
1545,99467.1050396508
1546,119879.17305070977
1547,122499.56665115117
1548,123430.4081591909
1549,119573.0052755468
1550,142109.1814310134
1551,103031.89876898518
1552,157937.23170616198
1553,125354.21806780901
1554,122738.75465718994
1555,161130.99536326458
1556,95808.72000405518
1557,100723.09104519151
1558,87816.77344841813
1559,110801.34288436687
1560,140130.94562533963
1561,169269.46590067702
1562,127209.9014451179
1563,108920.56432277348
1564,175038.03172303794
1565,154552.93528926128
1566,200973.69192311878
1567,89723.18068395962
1568,211674.53286908532
1569,149750.72238567774
1570,118365.34029030136
1571,138755.33022981067
1572,141655.51348053722
1573,221570.7143959459
1574,157248.33893951715
1575,196440.7491097903
1576,238515.6111454165
1577,198537.06300209532
1578,139144.65004234505
1579,155694.9679391483
1580,205088.8392442303
1581,141623.63848581456
1582,130673.14179027383
1583,286846.0466863621
1584,231494.19001461286
1585,156520.91378910712
1586,80491.26348818524
1587,91511.67979518662
1588,136128.4041901381
1589,120669.63877476787
1590,133526.25537065847
1591,90221.28488991281
1592,135143.8412830094
1593,108051.02581176138
1594,166489.48540341924
1595,114051.92687683622
1596,200989.45852944313
1597,206560.64453385945
1598,193610.80682680476
1599,178915.2727403033
1600,193151.6083128422
1601,60862.57276756002
1602,102313.80170836602
1603,73216.48683330638
1604,242152.39062363084
1605,255147.06208121707
1606,169310.2037531027
1607,229731.51156886714
1608,224146.9811706168
1609,197477.02487484599
1610,178394.1454748701
1611,156668.1559857973
1612,203487.37581154553
1613,191786.23893371387
1614,119773.41369341209
1615,96769.59629437188
1616,96769.59629437188
1617,115852.84104161151
